"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MAX","PRCP","TEMP","VISIB","WDSP"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-19","  87.8","99.99","  81.3","  4.6","  5.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-20","  89.6"," 0.03","  81.2","  4.5","  5.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-21","  89.6"," 0.31","  81.7","  4.4","  5.2"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-22","  91.4"," 0.00","  82.7","  4.5","  6.0"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-23","  87.8"," 0.04","  81.2","  4.1","  5.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-24","  88.9"," 0.16","  79.7","  4.0","  6.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-25","  87.8"," 0.43","  80.2","  4.0","  6.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-26","  83.3"," 1.26","  76.6","  3.5","  7.2"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-27","  87.8"," 0.00","  81.6","  4.8","  7.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-02-28","  87.8"," 0.43","  80.0","  5.1","  5.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-01","  87.8"," 0.04","  81.4","  4.5","  6.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-02","  89.6"," 0.00","  80.6","  4.5","  6.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-03","  88.9"," 0.00","  79.7","  5.0","  4.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-04","  87.8"," 0.59","  79.5","  4.4","  4.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-05","  87.8"," 1.50","  80.7","  4.4","  7.3"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-06","  84.2"," 1.30","  76.4","  4.1","  4.3"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-07","  86.7"," 0.00","  78.8","  4.4","  3.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-08","  88.2"," 0.00","  80.9","  5.1","  3.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-09","  89.6"," 0.31","  79.8","  4.6","  2.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-10","  89.6"," 0.00","  82.2","  4.5","  3.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-11","  91.0"," 0.00","  82.3","  4.8","  3.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-12","  90.3"," 0.00","  82.1","  5.5","  3.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-13","  89.8"," 0.03","  80.2","  4.2","  2.3"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-14","  88.5"," 0.08","  78.8","  4.2","  2.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-15","  91.9"," 0.00","  81.8","  4.4","  2.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-16","  91.4"," 0.35","  82.7","  4.4","  3.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-17","  89.2"," 0.28","  79.9","  4.8","  2.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-18","  91.2"," 0.00","  81.7","  3.7","  2.0"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-19","  91.4"," 0.00","  83.2","  4.3","  2.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-20","  91.4"," 0.00","  82.3","  4.4","  3.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-21","  90.7"," 0.28","  81.6","  4.9","  2.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-22","  91.4"," 0.32","  80.5","  4.0","  2.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-23","  91.2"," 0.24","  80.7","  3.9","  1.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-24","  91.2","99.99","  79.8","  4.3","  2.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-25","  91.4"," 0.00","  82.4","  4.9","  2.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-26","  91.4"," 1.85","  80.0","  4.8","  2.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-27","  91.4"," 0.00","  81.0","  4.9","  3.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-28","  93.2"," 1.65","  80.5","  4.3","  3.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-29","  90.7"," 0.35","  81.7","  3.7","  2.2"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-30","  87.8"," 0.00","  81.6","  4.5","  3.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-03-31","  90.0"," 0.00","  81.4","  4.2","  4.3"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-01","  86.7"," 0.31","  78.9","  4.8","  3.2"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-02","  87.1"," 0.00","  80.2","  4.6","  4.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-03","  87.8"," 0.20","  80.0","  4.7","  2.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-04","  85.1"," 0.00","  79.9","  4.9","  3.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-05","  89.6"," 1.24","  79.5","  3.9","  2.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-06","  88.9"," 0.08","  80.4","  5.0","  4.2"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-07","  86.9"," 0.00","  80.2","  4.7","  3.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-08","  87.8"," 0.08","  81.5","  4.6","  4.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-09","  87.8"," 0.12","  80.3","  4.4","  5.0"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-10","  87.8"," 0.45","  80.2","  4.3","  4.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-11","  87.8"," 0.20","  81.3","  4.3","  6.2"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-12","  88.3"," 0.00","  81.4","  5.0","  4.1"
